identifier,name,description,url,startDate,endDate,openingHours,lotValue,lotPrice,lotPricePeriod,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,organizerName,organizerIdentifier,contactPointName,contactPointEmail,contactPointTelephone,contactPointURL,decisionType,decisionTitle,decisionNumber,decisionIssued,decisionURL,publisherName,publisherIdentifier
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,3,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,пр. Миру,85,null,Район Будинку зв’язку,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,1,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,вул. П. Орлика,114,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,1,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,вул. П. Орлика,112,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-05-2020-03-09 08:00-19:00,1,null,null,87500,Україна,Донецька область,Центральний ,Маріуполь,пр. Нахімова,204,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-23-2020-11-30 06:00-20:00,64,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,пр. Миру,116,null,"Вздовж лінії огорожі 
ринку Славутич від центрального 
входу до магазину АТБ",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03 08:00-18:00,2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,пр. Луніна,31,null,"Перетин пр. Луніна, 31, вул. 
Гагаріна ",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-05 08:00-18:00,2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,пр. Луніна,31,null,"Перетин пр. Луніна, 31, вул. 
Гагаріна ",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-05 08:00-18:00,2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,пр. Луніна,31,null,"Перетин пр. Луніна, 31, вул. 
Гагаріна ",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03 06:00-18:00,8,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,вул. Латишева,null,null,"Перетин вул. Латишева, вул.Ушакова ",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-04 06:00-18:00,8,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,вул. Латишева,null,null,"Перетин вул. Латишева, вул.Ушакова ",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-05 06:00-18:00,8,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,вул. Латишева,null,null,"Перетин вул. Латишева, вул.Ушакова ",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 08:00-18:00",2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,"пров. Федорова 
(в районі буд. № 27)",null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 08:00-18:00",2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,вул. Вокзальної,null,null,"Перехрестя вул. Вокзальної, вул. Перша Слободка",Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 08:00-18:00",2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,вул. Грибоєдова,30,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 08:00-18:00",2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,пров. Прямий,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 08:00-18:00",2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,вул. Гаванна,69,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 08:00-18:00",2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,вул. Демократична,48,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 08:00-18:00",2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,вул. Богдана,141,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,"Сб,Нд 08:00-18:00",2,null,null,87500,Україна,Донецька область,Приморський ,Маріуполь,"вул. Флотська 
(кінцева зупинка)",null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-06 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-03-07 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-04-17 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-04-18 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-09-05 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
2020-01,Ярмаркова торгівля на території м. Маріуполя у 2020 році,Щорічний ярмарок продукції місцевих товаровиробників Донецькій області.,https://mariupolrada.gov.ua/page/informacija-dlja-subektiv-malogo-ta-serednogo-biznesu,2020-01-01,2020-12-31,2020-09-12 07:00-17:00,30,null,null,87500,Україна,Донецька область,Лівобережний ,Маріуполь,площа Перемоги,null,null,Не визначено,Маріупольська міська рада,33852448,Аркатов Денис Володимирович,dep.econom@mariupolrada.gov.ua,+380629337045,https://mariupolrada.gov.ua/page/ekonomika,Рішення,Про здійснення ярмаркової торгівлі на території м. Маріуполя у 2020 році,53,2020-02-24,https://mariupolrada.gov.ua/uploads/17/85328-%E2%84%96%2053.pdf ,виконавчий комітет маріупольської міської ради,33852448
